"name"
"Bad Water Brewing"
"Barley Brothers Brewery and Grill"
"Barnstar Brewing Company"
"Barrio Brewing Co."
"Beast Brewing Company"
"Beaver Street Brewery"
"Beer Research Institute"
"Black Bridge Brewery"
"Black Hole Beer Company"
"Black Mountain Brewing Co."
"Bold Barley Brewing"
"Borderlands Brewing Company"
"Brewers Restaurant & Sports Bar"
"Cartel Coffee Lab"
"Casa Arriba Brewing Company"
"College Street Brewhouse & Pub"
"Cosmic Beer & Distributing"
"Desert Eagle Brewing Company"
"Dragoon Brewing Company"
"Dubina Brewing Company"
"Fate Brewing Company (AZ)"
"Flagstaff Brewing Company"
"Four Peaks Brewing Company"
"Freak’N Brewing Company"
"Gentle Bens Brewing Company"
"Grand Canyon Brewing Company"
"Granite Mountain Brewing"
"Historic Brewing Company"
"Huss Brewing Company"
"Iron John’s Brewing Company, LLC"
"Lonesome Valley Brewing"
"Lumberyard Brewing Company"
"Mad Hatter Brew Pub"
"Mother Bunch Brewing"
"Mother Road Brewing Company"
"Mudshark Brewing Company"
"Nimbus Brewing Company"
"North Mountain Brewing Company"
"O.H.S.O. Eatery & NanoBrewery"
"Oak Creek Brewing Co."
"Old Bisbee Brewing Company"
"Old World Brewery"
"Owl’s Orchard Brewery"
"Papago Brewing"
"Peoria Artisan Brewery"
"Perch Pub & Brewery"
"Phoenix Ale Brewery"
"Pinetop Brewing Company"
"Pinnacle Peak Patio Steakhouse"
"Prescott Brewing Company"
"Prison Hill Brewing Company"
"Pueblo Vida Brewing Company"
"Rock Bottom Arrowhead"
"Rock Bottom Scottsdale"
"SanTan Brewing Company"
"Scottsdale Beer Company"
"Sentinel Peak Brewing Company"
"Sleepy Dog Saloon & Brewery"
"Sonoran Brewing Company"
"Sun Up Brewing Company (Sonora Brewhouse)"
"Ten Fifty-Five Brewing"
"THAT Brewery & Pub at Rimside"
"The Address Brewing Co"
"Thunder Canyon Brewery"
"Uncle Bear’s Brewery"
"Verde Brewing Company"
"Wanderlust Brewing Company"
"beer"
"abv","nratings","url.text","url.href"
"6","17","Bad Water Saison","http://www.ratebeer.com/beer/bad-water-saison/179116/"
"","7","Barley Brothers Beachballs Red Ale","http://www.ratebeer.com/beer/barley-brothers-beachballs-red-ale/17586/"
"","2","Barley Brothers Belgian Wheat","http://www.ratebeer.com/beer/barley-brothers-belgian-wheat/100473/"
"","10","Barley Brothers Bighorn IPA","http://www.ratebeer.com/beer/barley-brothers-bighorn-ipa/19725/"
"","2","Barley Brothers Blond Summer Bock","http://www.ratebeer.com/beer/barley-brothers-blond-summer-bock/17587/"
"","8","Barley Brothers Blonde Ale","http://www.ratebeer.com/beer/barley-brothers-blonde-ale/19726/"
"","4","Barley Brothers Blueberry Vanilla Wheat","http://www.ratebeer.com/beer/barley-brothers-blueberry-vanilla-wheat/89938/"
"10.5","1","Barley Brothers BORIS ... Simply Boris","http://www.ratebeer.com/beer/barley-brothers-boris-simply-boris/161477/"
"","2","Barley Brothers Chocolate Stout","http://www.ratebeer.com/beer/barley-brothers-chocolate-stout/75658/"
"10.8","0","Barley Brothers Damn Strong Ale","http://www.ratebeer.com/beer/barley-brothers-damn-strong-ale/56939/"
"","2","Barley Brothers Dark Cherry Ale","http://www.ratebeer.com/beer/barley-brothers-dark-cherry-ale/100475/"
"13.9","3","Barley Brothers Destroyer IPA","http://www.ratebeer.com/beer/barley-brothers-destroyer-ipa/8589/"
"","6","Barley Brothers Freedom Bridge Amber Ale","http://www.ratebeer.com/beer/barley-brothers-freedom-bridge-amber-ale/100474/"
"11.4","11","Barley Brothers Double Espresso Stout","http://www.ratebeer.com/beer/barley-brothers-double-espresso-stout/51706/"
"","13","Barley Brothers Jennagrace Hefeweizen","http://www.ratebeer.com/beer/barley-brothers-jennagrace-hefeweizen/17588/"
"","12","Barley Brothers Kickstart Oatmeal Stout","http://www.ratebeer.com/beer/barley-brothers-kickstart-oatmeal-stout/62567/"
"8.5","6","Barley Brothers Imperial Stout","http://www.ratebeer.com/beer/barley-brothers-imperial-stout/39583/"
